valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,type,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2015-M07,month,CHFL,CHFL,all,agegroup_food,all,all,147,8362816,1.76,579,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M08,month,CHFL,CHFL,all,agegroup_food,all,all,241,8362816,2.88,820,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M09,month,CHFL,CHFL,all,agegroup_food,all,all,168,8362816,2.01,988,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M10,month,CHFL,CHFL,all,agegroup_food,all,all,190,8362816,2.27,1178,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M11,month,CHFL,CHFL,all,agegroup_food,all,all,121,8362816,1.45,1299,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M12,month,CHFL,CHFL,all,agegroup_food,all,all,56,8362816,0.67,1355,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M01,month,CHFL,CHFL,all,agegroup_food,all,all,87,8457360,1.03,87,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M02,month,CHFL,CHFL,all,agegroup_food,all,all,72,8457360,0.85,159,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M03,month,CHFL,CHFL,all,agegroup_food,all,all,84,8457360,0.99,243,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M04,month,CHFL,CHFL,all,agegroup_food,all,all,98,8457360,1.16,341,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M05,month,CHFL,CHFL,all,agegroup_food,all,all,104,8457360,1.23,445,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M06,month,CHFL,CHFL,all,agegroup_food,all,all,78,8457360,0.92,523,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M07,month,CHFL,CHFL,all,agegroup_food,all,all,126,8457360,1.49,649,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M08,month,CHFL,CHFL,all,agegroup_food,all,all,282,8457360,3.33,931,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M09,month,CHFL,CHFL,all,agegroup_food,all,all,197,8457360,2.33,1128,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M10,month,CHFL,CHFL,all,agegroup_food,all,all,161,8457360,1.9,1289,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M11,month,CHFL,CHFL,all,agegroup_food,all,all,121,8457360,1.43,1410,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M12,month,CHFL,CHFL,all,agegroup_food,all,all,110,8457360,1.3,1520,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M01,month,CHFL,CHFL,all,agegroup_food,all,all,81,8522244,0.95,81,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M02,month,CHFL,CHFL,all,agegroup_food,all,all,58,8522244,0.68,139,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M03,month,CHFL,CHFL,all,agegroup_food,all,all,72,8522244,0.84,211,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M04,month,CHFL,CHFL,all,agegroup_food,all,all,86,8522244,1.01,297,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M05,month,CHFL,CHFL,all,agegroup_food,all,all,97,8522244,1.14,394,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M06,month,CHFL,CHFL,all,agegroup_food,all,all,124,8522244,1.46,518,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M07,month,CHFL,CHFL,all,agegroup_food,all,all,219,8522244,2.57,737,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M08,month,CHFL,CHFL,all,agegroup_food,all,all,408,8522244,4.79,1145,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M09,month,CHFL,CHFL,all,agegroup_food,all,all,294,8522244,3.45,1439,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M10,month,CHFL,CHFL,all,agegroup_food,all,all,196,8522244,2.3,1635,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M11,month,CHFL,CHFL,all,agegroup_food,all,all,116,8522244,1.36,1751,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M12,month,CHFL,CHFL,all,agegroup_food,all,all,85,8522244,1,1836,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M01,month,CHFL,CHFL,all,agegroup_food,all,all,109,8582905,1.27,109,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M02,month,CHFL,CHFL,all,agegroup_food,all,all,80,8582905,0.93,189,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M03,month,CHFL,CHFL,all,agegroup_food,all,all,76,8582905,0.89,265,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M04,month,CHFL,CHFL,all,agegroup_food,all,all,73,8582905,0.85,338,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M05,month,CHFL,CHFL,all,agegroup_food,all,all,112,8582905,1.3,450,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M06,month,CHFL,CHFL,all,agegroup_food,all,all,102,8582905,1.19,552,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M07,month,CHFL,CHFL,all,agegroup_food,all,all,140,8582905,1.63,692,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M08,month,CHFL,CHFL,all,agegroup_food,all,all,242,8582905,2.82,934,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M09,month,CHFL,CHFL,all,agegroup_food,all,all,173,8582905,2.02,1107,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M10,month,CHFL,CHFL,all,agegroup_food,all,all,183,8582905,2.13,1290,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M11,month,CHFL,CHFL,all,agegroup_food,all,all,97,8582905,1.13,1387,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M12,month,CHFL,CHFL,all,agegroup_food,all,all,83,8582905,0.97,1470,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M01,month,CHFL,CHFL,all,agegroup_food,all,all,94,8644780,1.09,94,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M02,month,CHFL,CHFL,all,agegroup_food,all,all,69,8644780,0.8,163,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M03,month,CHFL,CHFL,all,agegroup_food,all,all,78,8644780,0.9,241,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M04,month,CHFL,CHFL,all,agegroup_food,all,all,92,8644780,1.06,333,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M05,month,CHFL,CHFL,all,agegroup_food,all,all,116,8644780,1.34,449,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M06,month,CHFL,CHFL,all,agegroup_food,all,all,108,8644780,1.25,557,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M07,month,CHFL,CHFL,all,agegroup_food,all,all,156,8644780,1.8,713,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M08,month,CHFL,CHFL,all,agegroup_food,all,all,258,8644780,2.98,971,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2019-M09,month,CHFL,CHFL,all,agegroup_food,all,all,165,8644780,1.91,1136,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M10,month,CHFL,CHFL,all,agegroup_food,all,all,182,8644780,2.11,1318,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2019-M11,month,CHFL,CHFL,all,agegroup_food,all,all,138,8644780,1.6,1456,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2019-M12,month,CHFL,CHFL,all,agegroup_food,all,all,87,8644780,1.01,1543,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M01,month,CHFL,CHFL,all,agegroup_food,all,all,87,8709355,1,87,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M02,month,CHFL,CHFL,all,agegroup_food,all,all,78,8709355,0.9,165,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M03,month,CHFL,CHFL,all,agegroup_food,all,all,50,8709355,0.57,215,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M04,month,CHFL,CHFL,all,agegroup_food,all,all,46,8709355,0.53,261,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M05,month,CHFL,CHFL,all,agegroup_food,all,all,58,8709355,0.67,319,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M06,month,CHFL,CHFL,all,agegroup_food,all,all,79,8709355,0.91,398,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M07,month,CHFL,CHFL,all,agegroup_food,all,all,135,8709355,1.55,533,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M08,month,CHFL,CHFL,all,agegroup_food,all,all,206,8709355,2.37,739,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M09,month,CHFL,CHFL,all,agegroup_food,all,all,200,8709355,2.3,939,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2020-M10,month,CHFL,CHFL,all,agegroup_food,all,all,130,8709355,1.49,1069,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2020-M11,month,CHFL,CHFL,all,agegroup_food,all,all,90,8709355,1.03,1159,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2020-M12,month,CHFL,CHFL,all,agegroup_food,all,all,90,8709355,1.03,1249,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M01,month,CHFL,CHFL,all,agegroup_food,all,all,65,8778099,0.74,65,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M02,month,CHFL,CHFL,all,agegroup_food,all,all,60,8778099,0.68,125,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M03,month,CHFL,CHFL,all,agegroup_food,all,all,65,8778099,0.74,190,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M04,month,CHFL,CHFL,all,agegroup_food,all,all,74,8778099,0.84,264,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M05,month,CHFL,CHFL,all,agegroup_food,all,all,101,8778099,1.15,365,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M06,month,CHFL,CHFL,all,agegroup_food,all,all,120,8778099,1.37,485,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M07,month,CHFL,CHFL,all,agegroup_food,all,all,182,8778099,2.07,667,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M08,month,CHFL,CHFL,all,agegroup_food,all,all,290,8778099,3.3,957,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2021-M09,month,CHFL,CHFL,all,agegroup_food,all,all,198,8778099,2.26,1155,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M10,month,CHFL,CHFL,all,agegroup_food,all,all,174,8778099,1.98,1329,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2021-M11,month,CHFL,CHFL,all,agegroup_food,all,all,97,8778099,1.11,1426,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2021-M12,month,CHFL,CHFL,all,agegroup_food,all,all,58,8778099,0.66,1484,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M01,month,CHFL,CHFL,all,agegroup_food,all,all,82,8855062,0.93,82,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M02,month,CHFL,CHFL,all,agegroup_food,all,all,54,8855062,0.61,136,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M03,month,CHFL,CHFL,all,agegroup_food,all,all,78,8855062,0.88,214,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M04,month,CHFL,CHFL,all,agegroup_food,all,all,92,8855062,1.04,306,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M05,month,CHFL,CHFL,all,agegroup_food,all,all,152,8855062,1.72,458,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M06,month,CHFL,CHFL,all,agegroup_food,all,all,157,8855062,1.77,615,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M07,month,CHFL,CHFL,all,agegroup_food,all,all,212,8855062,2.39,827,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M08,month,CHFL,CHFL,all,agegroup_food,all,all,334,8855062,3.77,1161,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2022-M09,month,CHFL,CHFL,all,agegroup_food,all,all,241,8855062,2.72,1402,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M10,month,CHFL,CHFL,all,agegroup_food,all,all,213,8855062,2.41,1615,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2022-M11,month,CHFL,CHFL,all,agegroup_food,all,all,137,8855062,1.55,1752,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2022-M12,month,CHFL,CHFL,all,agegroup_food,all,all,92,8855062,1.04,1844,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M01,month,CHFL,CHFL,all,agegroup_food,all,all,114,9002273,1.27,114,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M02,month,CHFL,CHFL,all,agegroup_food,all,all,76,9002273,0.84,190,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M03,month,CHFL,CHFL,all,agegroup_food,all,all,84,9002273,0.93,274,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M04,month,CHFL,CHFL,all,agegroup_food,all,all,99,9002273,1.1,373,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M05,month,CHFL,CHFL,all,agegroup_food,all,all,131,9002273,1.46,504,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M06,month,CHFL,CHFL,all,agegroup_food,all,all,126,9002273,1.4,630,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M07,month,CHFL,CHFL,all,agegroup_food,all,all,190,9002273,2.11,820,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M08,month,CHFL,CHFL,all,agegroup_food,all,all,305,9002273,3.39,1125,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M09,month,CHFL,CHFL,all,agegroup_food,all,all,278,9002273,3.09,1403,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2023-M10,month,CHFL,CHFL,all,agegroup_food,all,all,222,9002273,2.47,1625,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2023-M11,month,CHFL,CHFL,all,agegroup_food,all,all,113,9002273,1.26,1738,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2023-M12,month,CHFL,CHFL,all,agegroup_food,all,all,85,9002273,0.94,1823,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2024-M01,month,CHFL,CHFL,all,agegroup_food,all,all,87,9091915,0.96,87,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2024-M02,month,CHFL,CHFL,all,agegroup_food,all,all,97,9091915,1.07,184,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2024-M03,month,CHFL,CHFL,all,agegroup_food,all,all,95,9091915,1.04,279,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2024-M04,month,CHFL,CHFL,all,agegroup_food,all,all,127,9091915,1.4,406,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M05,month,CHFL,CHFL,all,agegroup_food,all,all,128,9091915,1.41,534,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M06,month,CHFL,CHFL,all,agegroup_food,all,all,124,9091915,1.36,658,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2024-M07,month,CHFL,CHFL,all,agegroup_food,all,all,221,9091915,2.43,879,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M08,month,CHFL,CHFL,all,agegroup_food,all,all,437,9091915,4.81,1316,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M09,month,CHFL,CHFL,all,agegroup_food,all,all,334,9091915,3.67,1650,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2024-M10,month,CHFL,CHFL,all,agegroup_food,all,all,342,9091915,3.76,1992,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2024-M11,month,CHFL,CHFL,all,agegroup_food,all,all,183,9091915,2.01,2175,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2024-M12,month,CHFL,CHFL,all,agegroup_food,all,all,88,9091915,0.97,2263,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2025-M01,month,CHFL,CHFL,all,agegroup_food,all,all,147,9091915,1.62,147,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2025-M02,month,CHFL,CHFL,all,agegroup_food,all,all,100,9091915,1.1,247,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M03,month,CHFL,CHFL,all,agegroup_food,all,all,121,9091915,1.33,368,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M04,month,CHFL,CHFL,all,agegroup_food,all,all,131,9091915,1.44,499,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M05,month,CHFL,CHFL,all,agegroup_food,all,all,177,9091915,1.95,676,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2025-M06,month,CHFL,CHFL,all,agegroup_food,all,all,180,9091915,1.98,856,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2025-M07,month,CHFL,CHFL,all,agegroup_food,all,all,246,9091915,2.71,1102,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2025-M08,month,CHFL,CHFL,all,agegroup_food,all,all,374,9091915,4.11,1476,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2025-M09,month,CHFL,CHFL,all,agegroup_food,all,all,297,9091915,3.27,1773,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2025-M10,month,CHFL,CHFL,all,agegroup_food,all,all,249,9091915,2.74,2022,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2025-M11,month,CHFL,CHFL,all,agegroup_food,all,all,147,9091915,1.62,2169,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2025-M12,month,CHFL,CHFL,all,agegroup_food,all,all,119,9091915,1.31,2288,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2026-M01,month,CHFL,CHFL,all,agegroup_food,all,all,122,9091674,1.34,122,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2026-M02,month,CHFL,CHFL,all,agegroup_food,all,all,89,9091674,0.98,211,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2026-M03,month,CHFL,CHFL,all,agegroup_food,all,all,120,9091674,1.32,331,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2026-M04,month,CHFL,CHFL,all,agegroup_food,all,all,141,9091674,1.55,472,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2026-M05,month,CHFL,CHFL,all,agegroup_food,all,all,126,9091674,1.39,598,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M06,month,CHFL,CHFL,all,agegroup_food,all,all,170,9091674,1.87,768,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M07,month,CHFL,CHFL,all,agegroup_food,all,all,290,9091674,3.19,1058,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2026-M08,month,CHFL,CHFL,all,agegroup_food,all,all,555,9091674,6.1,1613,NA,rising,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M01,month,CHFL,CHFL,all,agegroup_food,all,all,65,NA,0.74,65,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M02,month,CHFL,CHFL,all,agegroup_food,all,all,46,NA,0.55,117,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M03,month,CHFL,CHFL,all,agegroup_food,all,all,50,NA,0.57,182,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M04,month,CHFL,CHFL,all,agegroup_food,all,all,46,NA,0.53,261,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M05,month,CHFL,CHFL,all,agegroup_food,all,all,58,NA,0.67,319,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M06,month,CHFL,CHFL,all,agegroup_food,all,all,78,NA,0.91,398,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M07,month,CHFL,CHFL,all,agegroup_food,all,all,91,NA,1.11,533,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M08,month,CHFL,CHFL,all,agegroup_food,all,all,206,NA,2.37,739,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M09,month,CHFL,CHFL,all,agegroup_food,all,all,133,NA,1.61,934,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M10,month,CHFL,CHFL,all,agegroup_food,all,all,130,NA,1.49,1069,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M11,month,CHFL,CHFL,all,agegroup_food,all,all,90,NA,1.03,1159,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2022-M12,month,CHFL,CHFL,all,agegroup_food,all,all,56,NA,0.66,1240,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M01,month,CHFL,CHFL,all,agegroup_food,all,all,65,NA,0.74,65,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M02,month,CHFL,CHFL,all,agegroup_food,all,all,46,NA,0.55,117,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M03,month,CHFL,CHFL,all,agegroup_food,all,all,50,NA,0.57,182,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M04,month,CHFL,CHFL,all,agegroup_food,all,all,46,NA,0.53,261,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M05,month,CHFL,CHFL,all,agegroup_food,all,all,58,NA,0.67,319,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M06,month,CHFL,CHFL,all,agegroup_food,all,all,78,NA,0.91,398,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M07,month,CHFL,CHFL,all,agegroup_food,all,all,125,NA,1.49,533,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M08,month,CHFL,CHFL,all,agegroup_food,all,all,206,NA,2.37,739,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M09,month,CHFL,CHFL,all,agegroup_food,all,all,133,NA,1.61,939,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M10,month,CHFL,CHFL,all,agegroup_food,all,all,130,NA,1.49,1069,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M11,month,CHFL,CHFL,all,agegroup_food,all,all,90,NA,1.03,1159,NA,NA,NA,NA,NA,NA,NA,TRUE
min_value_10y,2023-M12,month,CHFL,CHFL,all,agegroup_food,all,all,56,NA,0.66,1240,NA,NA,NA,NA,NA,NA,NA,TRUE
